0,1,2,3,4,5,6
0.62111795,0.4545455,0.27777776,0.31132078,0.02706767,1.0,1.0
0.6397515,0.63636374,0.5,0.4504717,0.028571429,1.0,1.0
0.67701864,0.63636374,0.44444445,0.29009432,0.034586467,1.0,1.0
0.6956522,0.54545474,0.5,0.5731132,0.281203,1.0,1.0
0.59627324,0.63636374,0.38888893,0.33962268,0.05263158,1.0,1.0
0.7267081,0.54545474,0.5555556,0.5353774,0.058646616,1.0,1.0
0.6708074,0.72727275,0.6666666,0.2712264,0.055639096,1.0,1.0
0.65838504,0.72727275,0.5,0.3985849,0.06165413,1.0,1.0
0.61490685,0.54545474,0.5,0.3679245,0.16541354,0.0,0.0
0.62111795,0.72727275,0.61111116,0.6037736,0.037593983,1.0,1.0
0.47204965,0.4545455,0.27777776,0.12264152,0.043609023,1.0,1.0
0.6956522,0.54545474,0.5555556,0.2924528,0.1593985,1.0,1.0
0.7826087,0.63636374,0.44444445,0.4457547,0.04210526,1.0,1.0
0.68944097,0.63636374,0.5,0.1509434,0.007518797,0.0,0.0
0.552795,0.3636365,0.27777776,0.2971698,0.034586467,1.0,1.0
0.6273292,0.72727275,0.6666666,0.12028302,0.04661654,1.0,1.0
0.68944097,0.54545474,0.38888893,0.7853774,0.037593983,1.0,1.0
0.552795,0.54545474,0.27777776,0.20754717,0.13984963,1.0,1.0
0.49689436,0.18181825,0.22222224,0.23584907,0.058646616,1.0,1.0
0.5279503,0.3636365,0.22222224,0.17216982,0.02556391,1.0,1.0
0.62111795,0.63636374,0.33333334,0.20990567,0.06917293,1.0,1.0
0.65838504,0.818182,0.6666666,0.16273585,0.073684216,1.0,1.0
0.68944097,0.818182,0.5555556,0.5235849,0.055639096,1.0,1.0
0.62111795,0.818182,0.61111116,0.379717,0.24962406,1.0,1.0
0.7329193,0.63636374,0.5555556,0.38443398,0.0631579,0.0,0.0
0.62111795,0.63636374,0.33333334,0.18396227,0.033082705,1.0,1.0
0.6956522,0.909091,0.5555556,0.3018868,0.07218046,1.0,1.0
0.6956522,0.54545474,0.5,0.3066038,0.036090225,1.0,1.0
0.48447204,0.3636365,0.22222224,0.08254717,0.016541354,1.0,1.0
0.67701864,0.3636365,0.27777776,0.3042453,0.028571429,1.0,1.0
0.5652174,0.2727275,0.22222224,0.4316038,0.039097745,1.0,1.0
0.5031056,0.4545455,0.33333334,0.2004717,0.012030075,1.0,1.0
0.65838504,0.63636374,0.5,0.0754717,0.02706767,1.0,1.0
0.6459627,0.63636374,0.5555556,0.16981132,0.02706767,1.0,1.0
0.67701864,0.63636374,0.61111116,0.3466981,0.093233086,1.0,1.0
0.6086956,0.72727275,0.44444445,0.13915095,0.016541354,1.0,1.0
0.6459627,0.72727275,0.5,0.13915095,0.019548872,1.0,1.0
0.6273292,0.54545474,0.44444445,0.08962265,0.021052632,1.0,1.0
0.7080745,0.63636374,0.5555556,0.2004717,0.10225564,1.0,1.0
0.6273292,0.72727275,0.5,0.59433967,0.07669173,1.0,1.0
0.62111795,0.4545455,0.27777776,0.07311321,0.02706767,1.0,1.0
0.6708074,0.54545474,0.38888893,0.2028302,0.039097745,1.0,1.0
0.4906832,0.63636374,0.5555556,0.28773588,0.0631579,1.0,1.0
0.5031056,0.2727275,0.27777776,0.08962265,0.015037593,1.0,1.0
0.6521739,0.54545474,0.44444445,0.2523585,0.094736844,1.0,1.0
0.7577639,0.72727275,0.61111116,0.2523585,0.07819549,1.0,1.0
0.7329193,0.818182,0.61111116,0.1533019,0.037593983,1.0,1.0
0.6956522,0.54545474,0.5,0.36084908,0.07819549,0.0,0.0
0.552795,0.3636365,0.27777776,0.14150943,0.021052632,1.0,1.0
0.70186335,0.63636374,0.44444445,0.24528302,0.04511278,1.0,1.0
0.54658383,0.2727275,0.27777776,0.3325472,0.036090225,1.0,1.0
0.53416145,0.3636365,0.38888893,0.3419811,0.23609023,1.0,1.0
0.4037267,0.4545455,0.22222224,0.08018868,0.043609023,1.0,1.0
0.41614908,0.4545455,0.27777776,0.094339624,0.021052632,1.0,1.0
0.48447204,0.4545455,0.27777776,0.3584906,0.055639096,1.0,1.0
0.65838504,0.54545474,0.27777776,0.15801887,0.058646616,1.0,1.0
0.4906832,0.54545474,0.22222224,0.056603774,0.016541354,1.0,1.0
0.5652174,0.54545474,0.33333334,0.4292453,0.2075188,1.0,1.0
0.62111795,0.72727275,0.5555556,0.14150943,0.05263158,1.0,1.0
0.60248446,0.4545455,0.38888893,0.106132075,0.037593983,0.0,0.0
0.65838504,0.4545455,0.38888893,0.7900944,0.08421053,0.0,0.0
0.5900621,0.63636374,0.5,0.106132075,0.022556392,0.0,0.0
0.6708074,0.72727275,0.5555556,0.4292453,0.06466166,1.0,1.0
0.5900621,0.72727275,0.5555556,0.49056607,0.036090225,1.0,1.0
0.4906832,0.2727275,0.22222224,0.07783019,0.019548872,1.0,1.0
0.66459626,0.72727275,0.7222222,0.31132078,0.07067669,1.0,1.0
0.6708074,0.54545474,0.5,0.7122642,0.0481203,1.0,1.0
0.67701864,0.54545474,0.33333334,0.3938679,0.058646616,1.0,1.0
0.6459627,0.818182,0.5555556,0.5283019,0.06616542,0.0,0.0
0.5900621,0.4545455,0.27777776,0.07311321,0.015037593,1.0,1.0
0.6521739,0.63636374,0.44444445,0.4693396,0.04661654,1.0,1.0
0.5838509,0.818182,0.5555556,0.3514151,0.015037593,1.0,1.0
0.5652174,0.4545455,0.27777776,0.19103774,0.15789475,1.0,1.0
0.5838509,0.63636374,0.33333334,0.17216982,0.016541354,1.0,1.0
0.61490685,0.72727275,0.44444445,0.4811321,0.058646616,1.0,1.0
0.7142857,0.63636374,0.38888893,0.59433967,0.054135337,1.0,1.0
0.67701864,0.72727275,0.5555556,0.25943398,0.07969925,0.0,0.0
0.67701864,0.818182,0.6666666,0.33490568,0.060150374,0.0,0.0
0.5217391,0.4545455,0.33333334,0.2924528,0.040601503,1.0,1.0
0.55900615,0.63636374,0.5,0.19575472,0.02406015,1.0,1.0
0.5093168,0.2727275,0.27777776,0.3419811,0.036090225,1.0,1.0
0.4906832,0.3636365,0.111111104,0.1768868,0.04661654,0.0,0.0
0.66459626,0.818182,0.8333334,0.3773585,0.06616542,1.0,1.0
0.7080745,0.63636374,0.5,0.31367928,0.10827068,1.0,1.0
